,Year,Player1,Country1,Player2,Country2,Score1,Score2
30220,2019.0,LEI Yu Ru,TPE,TIEU May,USA,2.0,4.0
30221,2019.0,DIAZ Maria Teresa,ESP,CASTANIE Rozene,FRA,5.0,4.0
30222,2019.0,DIAZ Maria Teresa,ESP,TIEU May,USA,1.0,5.0
30223,2019.0,CASTANIE Rozene,FRA,TIEU May,USA,4.0,5.0
30224,2019.0,KARAMETE Irem,TUR,PARK Jihee,KOR,4.0,3.0
30225,2019.0,KARAMETE Irem,TUR,NISHIOKA Shiho,JPN,4.0,5.0
30226,2019.0,KARAMETE Irem,TUR,BUTRUILLE Solene,FRA,4.0,5.0
30227,2019.0,KARAMETE Irem,TUR,CHART Yvonne,GBR,5.0,2.0
30228,2019.0,KARAMETE Irem,TUR,BRETEAU Andrea,ESP,5.0,2.0
30229,2019.0,KARAMETE Irem,TUR,MESTERI Viktoria,HUN,5.0,1.0
30230,2019.0,PARK Jihee,KOR,NISHIOKA Shiho,JPN,5.0,4.0
30231,2019.0,PARK Jihee,KOR,BUTRUILLE Solene,FRA,5.0,2.0
30232,2019.0,PARK Jihee,KOR,CHART Yvonne,GBR,5.0,4.0
30233,2019.0,PARK Jihee,KOR,BRETEAU Andrea,ESP,5.0,2.0
30234,2019.0,PARK Jihee,KOR,MESTERI Viktoria,HUN,5.0,2.0
30235,2019.0,NISHIOKA Shiho,JPN,BUTRUILLE Solene,FRA,1.0,5.0
30236,2019.0,NISHIOKA Shiho,JPN,CHART Yvonne,GBR,5.0,2.0
30237,2019.0,NISHIOKA Shiho,JPN,BRETEAU Andrea,ESP,4.0,5.0
30238,2019.0,NISHIOKA Shiho,JPN,MESTERI Viktoria,HUN,5.0,3.0
30239,2019.0,BUTRUILLE Solene,FRA,CHART Yvonne,GBR,5.0,2.0
30240,2019.0,BUTRUILLE Solene,FRA,BRETEAU Andrea,ESP,5.0,1.0
30241,2019.0,BUTRUILLE Solene,FRA,MESTERI Viktoria,HUN,5.0,2.0
30242,2019.0,CHART Yvonne,GBR,BRETEAU Andrea,ESP,2.0,5.0
30243,2019.0,CHART Yvonne,GBR,MESTERI Viktoria,HUN,3.0,5.0
30244,2019.0,BRETEAU Andrea,ESP,MESTERI Viktoria,HUN,5.0,3.0
30245,2019.0,GUYART Astrid,FRA,MANCINI Camilla,ITA,5.0,0.0
30246,2019.0,GUYART Astrid,FRA,SCRUGGS Lauren,USA,5.0,3.0
30247,2019.0,GUYART Astrid,FRA,YANG Chin Man,TPE,5.0,0.0
30248,2019.0,GUYART Astrid,FRA,CALERI Juliana,ARG,5.0,2.0
30249,2019.0,GUYART Astrid,FRA,KO Christelle Joy,HKG,5.0,1.0
30250,2019.0,GUYART Astrid,FRA,BERTHIER Amita,SGP,5.0,1.0
30251,2019.0,MANCINI Camilla,ITA,SCRUGGS Lauren,USA,5.0,4.0
30252,2019.0,MANCINI Camilla,ITA,YANG Chin Man,TPE,5.0,1.0
30253,2019.0,MANCINI Camilla,ITA,CALERI Juliana,ARG,5.0,0.0
30254,2019.0,MANCINI Camilla,ITA,KO Christelle Joy,HKG,5.0,2.0
30255,2019.0,MANCINI Camilla,ITA,BERTHIER Amita,SGP,3.0,5.0
30256,2019.0,SCRUGGS Lauren,USA,YANG Chin Man,TPE,5.0,2.0
30257,2019.0,SCRUGGS Lauren,USA,CALERI Juliana,ARG,5.0,2.0
30258,2019.0,SCRUGGS Lauren,USA,KO Christelle Joy,HKG,5.0,2.0
30259,2019.0,SCRUGGS Lauren,USA,BERTHIER Amita,SGP,3.0,5.0
30260,2019.0,YANG Chin Man,TPE,CALERI Juliana,ARG,5.0,0.0
30261,2019.0,YANG Chin Man,TPE,KO Christelle Joy,HKG,5.0,1.0
30262,2019.0,YANG Chin Man,TPE,BERTHIER Amita,SGP,1.0,5.0
30263,2019.0,CALERI Juliana,ARG,KO Christelle Joy,HKG,1.0,5.0
30264,2019.0,CALERI Juliana,ARG,BERTHIER Amita,SGP,2.0,5.0
30265,2019.0,KO Christelle Joy,HKG,BERTHIER Amita,SGP,4.0,5.0
30266,2019.0,DICKSON Chloe,GBR,TERNI Maria Ludmila,ARG,5.0,2.0
30267,2019.0,DICKSON Chloe,GBR,CHAE Songoh,KOR,2.0,5.0
30268,2019.0,DICKSON Chloe,GBR,ALBOROVA Yana,UZB,2.0,5.0
30269,2019.0,DICKSON Chloe,GBR,LIU Yan Wai,HKG,5.0,3.0
30270,2019.0,DICKSON Chloe,GBR,KIRSCH Anne,GER,5.0,4.0
30271,2019.0,DICKSON Chloe,GBR,RECHER Alice,FRA,0.0,5.0
30272,2019.0,TERNI Maria Ludmila,ARG,CHAE Songoh,KOR,0.0,5.0
30273,2019.0,TERNI Maria Ludmila,ARG,ALBOROVA Yana,UZB,3.0,5.0
30274,2019.0,TERNI Maria Ludmila,ARG,LIU Yan Wai,HKG,2.0,5.0
30275,2019.0,TERNI Maria Ludmila,ARG,KIRSCH Anne,GER,5.0,4.0
30276,2019.0,TERNI Maria Ludmila,ARG,RECHER Alice,FRA,3.0,5.0
30277,2019.0,CHAE Songoh,KOR,ALBOROVA Yana,UZB,3.0,5.0
30278,2019.0,CHAE Songoh,KOR,LIU Yan Wai,HKG,5.0,0.0
30279,2019.0,CHAE Songoh,KOR,KIRSCH Anne,GER,5.0,3.0
30280,2019.0,CHAE Songoh,KOR,RECHER Alice,FRA,5.0,3.0
30281,2019.0,ALBOROVA Yana,UZB,LIU Yan Wai,HKG,5.0,1.0
30282,2019.0,ALBOROVA Yana,UZB,KIRSCH Anne,GER,5.0,1.0
30283,2019.0,ALBOROVA Yana,UZB,RECHER Alice,FRA,3.0,5.0
30284,2019.0,LIU Yan Wai,HKG,KIRSCH Anne,GER,5.0,0.0
30285,2019.0,LIU Yan Wai,HKG,RECHER Alice,FRA,4.0,5.0
30286,2019.0,KIRSCH Anne,GER,RECHER Alice,FRA,0.0,5.0
30287,2019.0,AZUMA Rio,JPN,HANY Noha,EGY,5.0,4.0
30288,2019.0,AZUMA Rio,JPN,GOLEBIOWSKA Natalia,POL,4.0,2.0
30289,2019.0,AZUMA Rio,JPN,BITTEROVA Kitti,SVK,5.0,1.0
30290,2019.0,AZUMA Rio,JPN,HAN Areum,KOR,5.0,4.0
30291,2019.0,AZUMA Rio,JPN,PASZTOR Flora,HUN,5.0,1.0
30292,2019.0,AZUMA Rio,JPN,VISSOTSKY Clemence,FRA,5.0,0.0
30293,2019.0,HANY Noha,EGY,GOLEBIOWSKA Natalia,POL,3.0,4.0
30294,2019.0,HANY Noha,EGY,BITTEROVA Kitti,SVK,5.0,2.0
30295,2019.0,HANY Noha,EGY,HAN Areum,KOR,4.0,5.0
30296,2019.0,HANY Noha,EGY,PASZTOR Flora,HUN,4.0,5.0
30297,2019.0,HANY Noha,EGY,VISSOTSKY Clemence,FRA,1.0,5.0
30298,2019.0,GOLEBIOWSKA Natalia,POL,BITTEROVA Kitti,SVK,3.0,5.0
30299,2019.0,GOLEBIOWSKA Natalia,POL,HAN Areum,KOR,4.0,5.0
30300,2019.0,GOLEBIOWSKA Natalia,POL,PASZTOR Flora,HUN,3.0,5.0
30301,2019.0,GOLEBIOWSKA Natalia,POL,VISSOTSKY Clemence,FRA,5.0,2.0
30302,2019.0,BITTEROVA Kitti,SVK,HAN Areum,KOR,5.0,2.0
30303,2019.0,BITTEROVA Kitti,SVK,PASZTOR Flora,HUN,1.0,5.0
30304,2019.0,BITTEROVA Kitti,SVK,VISSOTSKY Clemence,FRA,5.0,4.0
30305,2019.0,HAN Areum,KOR,PASZTOR Flora,HUN,4.0,5.0
30306,2019.0,HAN Areum,KOR,VISSOTSKY Clemence,FRA,3.0,5.0
30307,2019.0,PASZTOR Flora,HUN,VISSOTSKY Clemence,FRA,5.0,1.0
30308,2019.0,VAN ERVEN GARCIA Saskia Loretta,COL,WOHLGEMUTH Olivia,AUT,3.0,5.0
30309,2019.0,VAN ERVEN GARCIA Saskia Loretta,COL,BLUM Oceane,FRA,5.0,3.0
30310,2019.0,VAN ERVEN GARCIA Saskia Loretta,COL,TARANENKO Anna,UKR,5.0,1.0
30311,2019.0,VAN ERVEN GARCIA Saskia Loretta,COL,LUPKOVICS Dora,HUN,5.0,1.0
30312,2019.0,VAN ERVEN GARCIA Saskia Loretta,COL,NOH Garam,KOR,4.0,5.0
30313,2019.0,VAN ERVEN GARCIA Saskia Loretta,COL,MOBERG Therese,SWE,5.0,2.0
30314,2019.0,WOHLGEMUTH Olivia,AUT,BLUM Oceane,FRA,5.0,2.0
30315,2019.0,WOHLGEMUTH Olivia,AUT,TARANENKO Anna,UKR,5.0,2.0
30316,2019.0,WOHLGEMUTH Olivia,AUT,LUPKOVICS Dora,HUN,4.0,5.0
30317,2019.0,WOHLGEMUTH Olivia,AUT,NOH Garam,KOR,3.0,5.0
30318,2019.0,WOHLGEMUTH Olivia,AUT,MOBERG Therese,SWE,5.0,1.0
30319,2019.0,BLUM Oceane,FRA,TARANENKO Anna,UKR,5.0,0.0
30320,2019.0,BLUM Oceane,FRA,LUPKOVICS Dora,HUN,2.0,5.0
30321,2019.0,BLUM Oceane,FRA,NOH Garam,KOR,5.0,4.0
30322,2019.0,BLUM Oceane,FRA,MOBERG Therese,SWE,5.0,1.0
30323,2019.0,TARANENKO Anna,UKR,LUPKOVICS Dora,HUN,1.0,5.0
30324,2019.0,TARANENKO Anna,UKR,NOH Garam,KOR,5.0,3.0
30325,2019.0,TARANENKO Anna,UKR,MOBERG Therese,SWE,5.0,2.0
